Latitude,Longitude,Time,Id
32.775940000000006,-96.79675,1,route 1,dallas
32.77615,-96.79581,2,route 1,Along route
32.775740000000006,-96.79569000000001,3,route 1,Along route
32.77552,-96.79561000000001,4,route 1,Along route
32.77514,-96.79606000000001,5,route 1,Along route
32.774550000000005,-96.79677000000001,6,route 1,Along route
32.774370000000005,-96.79700000000001,7,route 1,Along route
32.77429,-96.79703,8,route 1,Along route
32.77402,-96.79718000000001,9,route 1,Along route
32.77365,-96.79752,10,route 1,Along route
32.773430000000005,-96.79779,11,route 1,Along route
32.773270000000004,-96.79805,12,route 1,Along route
32.772890000000004,-96.79871000000001,13,route 1,Along route
32.77254,-96.79919000000001,14,route 1,Along route
32.772330000000004,-96.79949,15,route 1,Along route
32.77199,-96.79992000000001,16,route 1,Along route
32.770500000000006,-96.80177,17,route 1,Along route
32.77018,-96.80217,18,route 1,Along route
32.769940000000005,-96.80250000000001,19,route 1,Along route
32.7697,-96.80289,20,route 1,Along route
32.76939,-96.80366000000001,21,route 1,Along route
32.76928,-96.80395000000001,22,route 1,Along route
32.76919,-96.80404000000001,23,route 1,Along route
32.769110000000005,-96.80443000000001,24,route 1,Along route
32.76907,-96.80461000000001,25,route 1,Along route
32.769020000000005,-96.80498000000001,26,route 1,Along route
32.76901,-96.80524000000001,27,route 1,Along route
32.76903,-96.80537000000001,28,route 1,Along route
32.76906,-96.80573000000001,29,route 1,Along route
32.76916,-96.80612,30,route 1,Along route
32.769270000000006,-96.80642,31,route 1,Along route
32.769400000000005,-96.80671000000001,32,route 1,Along route
32.7701,-96.80805000000001,33,route 1,Along route
32.770540000000004,-96.80883000000001,34,route 1,Along route
32.77062,-96.80904000000001,35,route 1,Along route
32.770990000000005,-96.80972000000001,36,route 1,Along route
32.77125,-96.81035000000001,37,route 1,Along route
32.771300000000004,-96.81054,38,route 1,Along route
32.77136,-96.81093000000001,39,route 1,Along route
32.771390000000004,-96.81117,40,route 1,Along route
32.771370000000005,-96.81171,41,route 1,Along route
32.771330000000006,-96.81203000000001,42,route 1,Along route
